PLAYER,ROUND,OPPONENT NAME,PTS,MIN,FOULS,TL MADE,TL ATTEMPTED,2PT MADE,3PT MADE
Gemma Elias 5,1,TIR BAGES - C.B ESPARREGUERA,3,19,2,1,2,1,0
Naroa Samper 6,1,TIR BAGES - C.B ESPARREGUERA,2,27,1,0,0,1,0
Maria Perez 16,1,TIR BAGES - C.B ESPARREGUERA,17,24,1,2,2,3,3
Clara Aragon 77,1,TIR BAGES - C.B ESPARREGUERA,6,11,0,0,0,0,2
Paula Marañon 8,1,TIR BAGES - C.B ESPARREGUERA,11,16,2,0,0,1,3
Anna Zurdo 4,1,TIR BAGES - C.B ESPARREGUERA,6,19,2,2,2,2,0
Paola Martinez 45,1,TIR BAGES - C.B ESPARREGUERA,5,18,4,1,6,2,0
Claudia Rivas 15,1,TIR BAGES - C.B ESPARREGUERA,2,25,4,0,0,1,0
Maria Navarro 9,2,JOVENTUT LES CORTS GROC,2,6,0,0,0,1,0
Gemma Elias 5,2,JOVENTUT LES CORTS GROC,9,22,2,3,4,3,0
Naroa Samper 6,2,JOVENTUT LES CORTS GROC,16,28,0,3,5,5,1
Maria Perez 16,2,JOVENTUT LES CORTS GROC,2,6,0,0,0,1,0
Clara Aragon 77,2,JOVENTUT LES CORTS GROC,11,14,2,3,4,4,0
Paula Marañon 8,2,JOVENTUT LES CORTS GROC,3,19,4,1,2,1,0
Anna Zurdo 4,2,JOVENTUT LES CORTS GROC,6,19,4,2,4,2,0
Paola Martinez 45,2,JOVENTUT LES CORTS GROC,14,25,1,6,7,4,0
Claudia Rivas 15,2,JOVENTUT LES CORTS GROC,12,35,3,1,2,4,1
Gemma Elias 5,3,EL MASNOU BASQUETBOL,5,21,0,1,2,2,0
Naroa Samper 6,3,EL MASNOU BASQUETBOL,16,27,1,3,7,5,1
Maria Perez 16,3,EL MASNOU BASQUETBOL,8,23,4,3,6,1,1
Clara Aragon 77,3,EL MASNOU BASQUETBOL,13,11,2,1,1,3,2
Paula Marañon 8,3,EL MASNOU BASQUETBOL,11,22,2,0,0,1,3
