PLAYER,ROUND,OPPONENT NAME,PTS,MIN,FOULS,TL MADE,TL ATTEMPTED,2PT MADE,2PT ATTEMPTED,3PT MADE,3PT ATTEMPTED
Claudia Diaz,1,CB IPSI A,4,20,5,0,0,2,2,0,0
Berta Sender,1,CB IPSI A,5,20,1,0,0,1,1,1,1
Lavinia Gelofre,1,CB IPSI A,10,22,3,2,4,4,4,0,0
Carlota Alfaro,1,CB IPSI A,12,22,3,0,0,6,6,0,0
Lucia Moreno,1,CB IPSI A,9,18,4,0,2,3,3,1,1
Claudia Diaz,2,U.E. CLARET A,0,14,5,0,2,0,0,0,0
Berta Sender,2,U.E. CLARET A,13,19,2,2,2,1,1,3,3
Carlota Alfaro,2,U.E. CLARET A,12,19,2,1,1,4,4,1,1
Lucia Moreno,2,U.E. CLARET A,16,22,2,6,10,5,5,0,0
Julia Muliterno,2,U.E. CLARET A,7,29,3,1,2,3,3,0,0
Claudia Diaz,3,DRAFT GRAMENET,4,23,2,2,3,1,1,0,0
Berta Sender,3,DRAFT GRAMENET,13,20,1,1,1,0,0,4,4
Carlota Alfaro,3,DRAFT GRAMENET,13,18,1,3,4,2,2,2,2
Lucia Moreno,3,DRAFT GRAMENET,11,22,3,7,11,2,2,0,0
Julia Muliterno,3,DRAFT GRAMENET,3,22,2,1,4,1,1,0,0
Claudia Diaz,4,CÀMPING BIANYA ROSER B,5,19,2,1,2,2,2,0,0
Berta Sender,4,CÀMPING BIANYA ROSER B,14,24,0,0,0,1,1,4,4
Carlota Alfaro,4,CÀMPING BIANYA ROSER B,12,21,3,8,8,2,2,0,0
Lucia Moreno,4,CÀMPING BIANYA ROSER B,6,19,3,0,0,3,3,0,0
Julia Muliterno,4,CÀMPING BIANYA ROSER B,11,26,1,3,6,4,4,0,0
Claudia Diaz,5,BASQUET NEUS A,10,23,3,0,0,5,5,0,0
Berta Sender,5,BASQUET NEUS A,6,20,2,0,0,0,0,2,2
Carlota Alfaro,5,BASQUET NEUS A,14,20,3,4,4,5,5,0,0
Lucia Moreno,5,BASQUET NEUS A,2,20,1,0,0,1,1,0,0
Julia Muliterno,5,BASQUET NEUS A,2,26,2,0,0,1,1,0,0
Claudia Diaz,6,TIR BAGES - C.B ESPARREGUERA,0,7,0,0,0,0,0,0,0
Berta Sender,6,TIR BAGES - C.B ESPARREGUERA,11,21,2,3,3,1,1,2,2
Carlota Alfaro,6,TIR BAGES - C.B ESPARREGUERA,11,21,2,3,4,4,4,0,0
Lucia Moreno,6,TIR BAGES - C.B ESPARREGUERA,11,20,2,3,7,4,4,0,0
Julia Muliterno,6,TIR BAGES - C.B ESPARREGUERA,2,26,1,0,0,1,1,0,0
Claudia Diaz,7,FC MARTINENC BÀSQUET A,11,21,5,3,4,4,4,0,0
Berta Sender,7,FC MARTINENC BÀSQUET A,10,22,2,2,2,1,1,2,2
Carlota Alfaro,7,FC MARTINENC BÀSQUET A,17,25,3,1,4,8,8,0,0
Lucia Moreno,7,FC MARTINENC BÀSQUET A,4,15,2,0,0,2,2,0,0
Julia Muliterno,7,FC MARTINENC BÀSQUET A,2,21,1,2,2,0,0,0,0
Claudia Diaz,8,GRAMENET BC,4,24,5,0,0,2,2,0,0
Berta Sender,8,GRAMENET BC,9,19,3,0,0,0,0,3,3
Lavinia Gelofre,8,GRAMENET BC,2,16,2,0,0,1,1,0,0
Carlota Alfaro,8,GRAMENET BC,14,20,2,8,12,3,3,0,0
Lucia Moreno,8,GRAMENET BC,3,22,1,1,2,1,1,0,0
Julia Muliterno,8,GRAMENET BC,6,21,3,2,6,2,2,0,0
Claudia Diaz,9,ARBRE TEAM - CB IGUALADA SFB,5,17,4,1,2,2,2,0,0
Berta Sender,9,ARBRE TEAM - CB IGUALADA SFB,5,27,1,3,4,1,1,0,0
Lavinia Gelofre,9,ARBRE TEAM - CB IGUALADA SFB,11,19,2,3,4,1,1,2,2
Carlota Alfaro,9,ARBRE TEAM - CB IGUALADA SFB,21,27,1,7,8,7,7,0,0
Lucia Moreno,9,ARBRE TEAM - CB IGUALADA SFB,0,14,0,0,2,0,0,0,0
Julia Muliterno,9,ARBRE TEAM - CB IGUALADA SFB,4,21,1,2,5,1,1,0,0
Claudia Diaz,10,PROMOVIATGES CBF CERDANYOLA B,0,17,1,0,0,0,0,0,0
Berta Sender,10,PROMOVIATGES CBF CERDANYOLA B,5,24,2,0,0,1,1,1,1
Lavinia Gelofre,10,PROMOVIATGES CBF CERDANYOLA B,4,14,1,0,0,2,2,0,0
Carlota Alfaro,10,PROMOVIATGES CBF CERDANYOLA B,12,23,3,2,2,2,2,2,2
Lucia Moreno,10,PROMOVIATGES CBF CERDANYOLA B,6,19,2,2,4,2,2,0,0
Julia Muliterno,10,PROMOVIATGES CBF CERDANYOLA B,6,26,1,2,6,2,2,0,0
Claudia Diaz,11,JOVENTUT LES CORTS GROC,24,20,2,2,2,11,11,0,0
Berta Sender,11,JOVENTUT LES CORTS GROC,11,17,2,0,0,1,1,3,3
Lavinia Gelofre,11,JOVENTUT LES CORTS GROC,0,6,1,0,0,0,0,0,0
Carlota Alfaro,11,JOVENTUT LES CORTS GROC,8,20,0,2,4,3,3,0,0
